Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_013,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.35.29.076 下午,Total Frames in Take,1101,Total Exported Frames,1101,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
58,0.483333,0.004759,-0.398764,0.003384,-0.917035,1.792052,0.529897,-6.679945,0.000737,,,,,,,,,,,,
59,0.491667,0.004821,-0.39867,0.003655,-0.917075,1.791083,0.529803,-6.678482,0.00071,,,,,,,,,,,,
60,0.5,0.004816,-0.398601,0.003909,-0.917104,1.790114,0.529708,-6.67705,0.000699,,,,,,,,,,,,
61,0.508333,0.004796,-0.398452,0.004051,-0.917168,1.789101,0.529624,-6.675617,0.000721,,,,,,,,,,,,
62,0.516667,0.004887,-0.398376,0.004301,-0.917199,1.788154,0.529543,-6.674159,0.000725,,,,,,,,,,,,
63,0.525,0.00483,-0.397906,0.004081,-0.917404,1.786886,0.529304,-6.672831,0.000732,,,,,,,,,,,,
64,0.533333,0.004832,-0.397798,0.004201,-0.917451,1.785895,0.529237,-6.671376,0.000713,,,,,,,,,,,,
65,0.541667,0.005162,-0.398073,0.005017,-0.917326,1.785183,0.529361,-6.669817,0.000732,,,,,,,,,,,,
66,0.55,0.005033,-0.397627,0.004743,-0.917521,1.783891,0.529132,-6.668464,0.000706,,,,,,,,,,,,
67,0.558333,0.00465,-0.397418,0.004985,-0.917612,1.782626,0.529033,-6.667118,0.000688,,,,,,,,,,,,
68,0.566667,0.005352,-0.397761,0.00575,-0.917456,1.782094,0.529212,-6.665426,0.000729,,,,,,,,,,,,
69,0.575,0.005135,-0.397472,0.006043,-0.91758,1.780933,0.529059,-6.664084,0.000696,,,,,,,,,,,,
70,0.583333,0.005048,-0.397135,0.005691,-0.917729,1.779796,0.529102,-6.66257,0.000702,,,,,,,,,,,,
71,0.591667,0.005167,-0.397022,0.005972,-0.917775,1.778737,0.529053,-6.661079,0.000735,,,,,,,,,,,,
72,0.6,0.005072,-0.396857,0.006121,-0.917846,1.777421,0.528839,-6.659727,0.000699,,,,,,,,,,,,
73,0.608333,0.006145,-0.396747,0.006065,-0.917888,1.776373,0.528709,-6.658268,0.000879,,,,,,,,,,,,
74,0.616667,0.006413,-0.39669,0.006361,-0.917908,1.775355,0.528653,-6.656767,0.000842,,,,,,,,,,,,
75,0.625,0.006454,-0.396885,0.007003,-0.917819,1.774531,0.528804,-6.655172,0.000896,,,,,,,,,,,,
76,0.633333,0.006672,-0.396457,0.006715,-0.918005,1.773185,0.528639,-6.653766,0.000867,,,,,,,,,,,,
77,0.641667,0.006662,-0.396633,0.007323,-0.917924,1.772062,0.528595,-6.65229,0.000881,,,,,,,,,,,,
78,0.65,0.006886,-0.396232,0.007072,-0.918097,1.770938,0.52865,-6.650757,0.000859,,,,,,,,,,,,
79,0.658333,0.007144,-0.396501,0.00776,-0.917974,1.77012,0.528796,-6.64913,0.000888,,,,,,,,,,,,
80,0.666667,0.007057,-0.396087,0.007471,-0.918155,1.768448,0.528483,-6.647818,0.000698,,,,,,,,,,,,
81,0.675,0.00739,-0.395915,0.007477,-0.918227,1.76757,0.528653,-6.646149,0.00087,,,,,,,,,,,,
82,0.683333,0.007457,-0.396086,0.008113,-0.918148,1.766453,0.528597,-6.644634,0.000861,,,,,,,,,,,,
83,0.691667,0.007718,-0.396051,0.008199,-0.918159,1.765591,0.528852,-6.642944,0.000945,,,,,,,,,,,,
84,0.7,0.007894,-0.395966,0.00828,-0.918194,1.764521,0.528806,-6.641381,0.000891,,,,,,,,,,,,
85,0.708333,0.007977,-0.395817,0.00839,-0.918256,1.763303,0.528823,-6.639799,0.000917,,,,,,,,,,,,
86,0.716667,0.008119,-0.395432,0.007899,-0.918426,1.761879,0.528687,-6.638312,0.00087,,,,,,,,,,,,
87,0.725,0.008091,-0.395352,0.00814,-0.918458,1.760384,0.528535,-6.636826,0.000699,,,,,,,,,,,,
88,0.733333,0.008467,-0.395539,0.008584,-0.91837,1.759755,0.528989,-6.635014,0.000951,,,,,,,,,,,,
89,0.741667,0.008574,-0.395129,0.008086,-0.91855,1.758261,0.52877,-6.633502,0.000855,,,,,,,,,,,,
90,0.75,0.008729,-0.395002,0.008007,-0.918604,1.757037,0.528886,-6.631886,0.000897,,,,,,,,,,,,
91,0.758333,0.008881,-0.395011,0.008087,-0.918598,1.755812,0.52883,-6.630261,0.000869,,,,,,,,,,,,
92,0.766667,0.008801,-0.394948,0.008115,-0.918625,1.754364,0.528775,-6.628742,0.000719,,,,,,,,,,,,
93,0.775,0.009131,-0.394808,0.008103,-0.918683,1.753358,0.528888,-6.626966,0.000861,,,,,,,,,,,,
94,0.783333,0.00921,-0.394743,0.00805,-0.91871,1.752171,0.528984,-6.625299,0.000834,,,,,,,,,,,,
95,0.791667,0.009122,-0.394693,0.008145,-0.918732,1.750599,0.528828,-6.623761,0.000688,,,,,,,,,,,,
96,0.8,0.009362,-0.394581,0.007912,-0.918779,1.749691,0.529101,-6.62196,0.000826,,,,,,,,,,,,
97,0.808333,0.009467,-0.394436,0.007903,-0.918841,1.748374,0.529138,-6.620278,0.000896,,,,,,,,,,,,
98,0.816667,0.009344,-0.394436,0.007836,-0.918843,1.746886,0.529047,-6.618678,0.000682,,,,,,,,,,,,
