Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_025,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.58.35.475 下午,Total Frames in Take,6042,Total Exported Frames,6042,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
62,0.516667,0.006172,-0.601834,-0.000506,-0.798597,-1.20173,0.525726,-5.555977,0.000532,,,,,,,,,,,,
63,0.525,0.006296,-0.600178,-0.0004,-0.799842,-1.201631,0.5258,-5.556063,0.000523,,,,,,,,,,,,
64,0.533333,0.006213,-0.598554,-0.00032,-0.801058,-1.201709,0.525984,-5.556207,0.000374,,,,,,,,,,,,
65,0.541667,0.006248,-0.59689,-0.000271,-0.802299,-1.201629,0.526018,-5.556278,0.000386,,,,,,,,,,,,
66,0.55,0.006103,-0.595445,-0.0002,-0.803373,-1.201889,0.526054,-5.55631,0.000796,,,,,,,,,,,,
67,0.558333,0.006382,-0.593514,-0.000168,-0.804798,-1.201557,0.52602,-5.556395,0.00036,,,,,,,,,,,,
68,0.566667,0.006483,-0.591841,-0.00007,-0.806028,-1.20147,0.526058,-5.556439,0.000345,,,,,,,,,,,,
69,0.575,0.006513,-0.590098,-0.000004,-0.807306,-1.201431,0.526095,-5.556485,0.000342,,,,,,,,,,,,
70,0.583333,0.006632,-0.58838,0.000015,-0.808557,-1.201343,0.526101,-5.556537,0.000317,,,,,,,,,,,,
71,0.591667,0.006746,-0.586614,0.000057,-0.809838,-1.201342,0.526159,-5.556578,0.000348,,,,,,,,,,,,
72,0.6,0.006767,-0.584909,0.00015,-0.811071,-1.201267,0.526212,-5.556596,0.000348,,,,,,,,,,,,
73,0.608333,0.00683,-0.583142,0.000144,-0.812342,-1.20123,0.526249,-5.556627,0.00034,,,,,,,,,,,,
74,0.616667,0.006862,-0.58136,0.000171,-0.813617,-1.201188,0.526268,-5.55665,0.000336,,,,,,,,,,,,
75,0.625,0.006918,-0.579576,0.000259,-0.814889,-1.201158,0.526295,-5.556713,0.00037,,,,,,,,,,,,
76,0.633333,0.006995,-0.577773,0.000391,-0.816168,-1.201056,0.526294,-5.556709,0.000332,,,,,,,,,,,,
77,0.641667,0.00705,-0.575935,0.000374,-0.817465,-1.201029,0.526313,-5.556792,0.000335,,,,,,,,,,,,
78,0.65,0.007074,-0.574076,0.00046,-0.818771,-1.200997,0.526311,-5.556801,0.000326,,,,,,,,,,,,
79,0.658333,0.007077,-0.572273,0.000538,-0.820033,-1.200947,0.526337,-5.556824,0.00036,,,,,,,,,,,,
80,0.666667,0.007092,-0.570431,0.000548,-0.821315,-1.200928,0.52635,-5.556841,0.000353,,,,,,,,,,,,
81,0.675,0.007115,-0.568529,0.000561,-0.822632,-1.200892,0.52634,-5.556887,0.000342,,,,,,,,,,,,
82,0.683333,0.006939,-0.566938,0.000605,-0.823731,-1.201138,0.526401,-5.556897,0.000796,,,,,,,,,,,,
83,0.691667,0.00714,-0.56476,0.000656,-0.825224,-1.200846,0.526366,-5.556971,0.000373,,,,,,,,,,,,
84,0.7,0.007229,-0.562854,0.000657,-0.826525,-1.200814,0.526359,-5.556986,0.000348,,,,,,,,,,,,
85,0.708333,0.00715,-0.560943,0.000599,-0.827823,-1.200739,0.526381,-5.557001,0.000345,,,,,,,,,,,,
86,0.716667,0.007103,-0.558959,0.000713,-0.829165,-1.20071,0.526384,-5.557036,0.000327,,,,,,,,,,,,
87,0.725,0.00705,-0.557088,0.000707,-0.830424,-1.200683,0.526385,-5.557035,0.000329,,,,,,,,,,,,
88,0.733333,0.007078,-0.55505,0.000737,-0.831787,-1.200637,0.526382,-5.557028,0.000348,,,,,,,,,,,,
89,0.741667,0.007021,-0.553132,0.00072,-0.833063,-1.200567,0.526397,-5.557027,0.00036,,,,,,,,,,,,
90,0.75,0.006922,-0.551157,0.00078,-0.834373,-1.200593,0.526419,-5.557087,0.000359,,,,,,,,,,,,
91,0.758333,0.006885,-0.549089,0.000696,-0.835736,-1.200535,0.526401,-5.557112,0.000335,,,,,,,,,,,,
92,0.766667,0.006861,-0.547143,0.000726,-0.837011,-1.200518,0.526408,-5.55711,0.000371,,,,,,,,,,,,
93,0.775,0.006588,-0.545388,0.000796,-0.838157,-1.200746,0.526481,-5.557104,0.000793,,,,,,,,,,,,
94,0.783333,0.006707,-0.543074,0.000711,-0.839658,-1.200447,0.526401,-5.557055,0.000363,,,,,,,,,,,,
95,0.791667,0.00645,-0.541318,0.000788,-0.840793,-1.200697,0.526455,-5.557135,0.000808,,,,,,,,,,,,
96,0.8,0.006637,-0.538937,0.00081,-0.842319,-1.200368,0.526354,-5.557078,0.000374,,,,,,,,,,,,
97,0.808333,0.006555,-0.536834,0.000762,-0.843662,-1.200347,0.526352,-5.557126,0.000339,,,,,,,,,,,,
98,0.816667,0.006377,-0.534785,0.0007,-0.844964,-1.200319,0.526336,-5.557111,0.000351,,,,,,,,,,,,
99,0.825,0.006373,-0.532713,0.000665,-0.846271,-1.200272,0.526279,-5.557105,0.000354,,,,,,,,,,,,
100,0.833333,0.006274,-0.530537,0.000732,-0.847638,-1.200242,0.526251,-5.557114,0.00036,,,,,,,,,,,,
101,0.841667,0.006218,-0.528413,0.000717,-0.848964,-1.200209,0.526234,-5.557069,0.000364,,,,,,,,,,,,
102,0.85,0.006106,-0.526299,0.000638,-0.850277,-1.200196,0.526217,-5.55708,0.000376,,,,,,,,,,,,
103,0.858333,0.005749,-0.524443,0.00066,-0.851426,-1.200454,0.526255,-5.557078,0.000813,,,,,,,,,,,,
104,0.866667,0.005667,-0.52229,0.000695,-0.852749,-1.200416,0.526256,-5.557083,0.00081,,,,,,,,,,,,
105,0.875,0.005598,-0.520111,0.000627,-0.85408,-1.200417,0.526212,-5.557086,0.000779,,,,,,,,,,,,
106,0.883333,0.005671,-0.517583,0.000593,-0.855614,-1.200018,0.52612,-5.557014,0.000387,,,,,,,,,,,,
107,0.891667,0.005579,-0.515384,0.00062,-0.856941,-1.199956,0.526069,-5.55696,0.000361,,,,,,,,,,,,
108,0.9,0.005464,-0.513169,0.000582,-0.85827,-1.19995,0.526034,-5.556952,0.000355,,,,,,,,,,,,
109,0.908333,0.005393,-0.510969,0.00056,-0.859582,-1.199939,0.526062,-5.556976,0.000354,,,,,,,,,,,,
110,0.916667,0.005291,-0.508745,0.000498,-0.860901,-1.199915,0.526005,-5.556933,0.000341,,,,,,,,,,,,
111,0.925,0.005116,-0.506453,0.000481,-0.862252,-1.199863,0.525998,-5.556929,0.000375,,,,,,,,,,,,
112,0.933333,0.004872,-0.50453,0.000533,-0.86338,-1.200124,0.525996,-5.556965,0.000797,,,,,,,,,,,,
113,0.941667,0.004801,-0.502208,0.000502,-0.864734,-1.200083,0.525945,-5.556929,0.000787,,,,,,,,,,,,
114,0.95,0.004632,-0.49996,0.000529,-0.866036,-1.200052,0.525908,-5.556909,0.000796,,,,,,,,,,,,
115,0.958333,0.004699,-0.497384,0.000401,-0.867518,-1.199725,0.525834,-5.556804,0.000349,,,,,,,,,,,,
116,0.966667,0.004633,-0.495037,0.000378,-0.86886,-1.199701,0.525777,-5.556796,0.000366,,,,,,,,,,,,
117,0.975,0.004317,-0.49302,0.000445,-0.870007,-1.199925,0.525816,-5.556829,0.000803,,,,,,,,,,,,
118,0.983333,0.004442,-0.490381,0.000445,-0.871496,-1.199616,0.525671,-5.556715,0.000379,,,,,,,,,,,,
119,0.991667,0.004359,-0.488049,0.000464,-0.872805,-1.199534,0.525626,-5.55671,0.000378,,,,,,,,,,,,
120,1,0.004289,-0.485645,0.000428,-0.874145,-1.199558,0.525595,-5.556665,0.00038,,,,,,,,,,,,
121,1.008333,0.00415,-0.483348,0.000406,-0.875419,-1.199491,0.525602,-5.556641,0.000373,,,,,,,,,,,,
122,1.016667,0.004011,-0.480923,0.000381,-0.876754,-1.199464,0.525554,-5.556636,0.000342,,,,,,,,,,,,
123,1.025,0.003963,-0.478456,0.000407,-0.878103,-1.199365,0.525507,-5.556632,0.000335,,,,,,,,,,,,
124,1.033333,0.003815,-0.476076,0.000444,-0.879396,-1.199347,0.525459,-5.55655,0.000356,,,,,,,,,,,,
125,1.041667,0.003774,-0.473717,0.000358,-0.880669,-1.199306,0.525464,-5.556589,0.000367,,,,,,,,,,,,
126,1.05,0.003469,-0.471497,0.000386,-0.881861,-1.199533,0.525482,-5.556613,0.000796,,,,,,,,,,,,
127,1.058333,0.003362,-0.469124,0.000334,-0.883126,-1.19951,0.52545,-5.556589,0.000825,,,,,,,,,,,,
128,1.066667,0.003193,-0.466598,0.000352,-0.884464,-1.19945,0.525427,-5.556558,0.000808,,,,,,,,,,,,
129,1.075,0.003342,-0.463813,0.000369,-0.885927,-1.199113,0.525323,-5.556482,0.000327,,,,,,,,,,,,
130,1.083333,0.003247,-0.461372,0.000307,-0.887201,-1.199061,0.525309,-5.556514,0.000297,,,,,,,,,,,,
131,1.091667,0.003118,-0.458901,0.000451,-0.888482,-1.19907,0.52524,-5.556436,0.000321,,,,,,,,,,,,
132,1.1,0.003039,-0.456353,0.000445,-0.889794,-1.198983,0.525222,-5.556451,0.000353,,,,,,,,,,,,
133,1.108333,0.002995,-0.453851,0.000535,-0.891072,-1.198943,0.525196,-5.55643,0.000328,,,,,,,,,,,,
134,1.116667,0.002894,-0.4513,0.000527,-0.892367,-1.198879,0.525162,-5.556407,0.000347,,,,,,,,,,,,
135,1.125,0.002809,-0.448752,0.000577,-0.893652,-1.198822,0.525105,-5.556372,0.000335,,,,,,,,,,,,
136,1.133333,0.002746,-0.446226,0.000534,-0.894916,-1.198768,0.525093,-5.556381,0.000384,,,,,,,,,,,,
137,1.141667,0.002714,-0.44357,0.000784,-0.896235,-1.199324,0.525254,-5.556441,0.001028,,,,,,,,,,,,
138,1.15,0.002576,-0.441098,0.000613,-0.897455,-1.198702,0.525065,-5.556324,0.00033,,,,,,,,,,,,
139,1.158333,0.002496,-0.438456,0.000656,-0.898749,-1.198656,0.525026,-5.556329,0.000324,,,,,,,,,,,,
140,1.166667,0.002261,-0.436098,0.000778,-0.899896,-1.198836,0.525066,-5.556361,0.000778,,,,,,,,,,,,
141,1.175,0.002244,-0.433512,0.000779,-0.901145,-1.198779,0.525041,-5.556367,0.000756,,,,,,,,,,,,
142,1.183333,0.002174,-0.430967,0.00077,-0.902365,-1.198717,0.525034,-5.556368,0.000759,,,,,,,,,,,,
143,1.191667,0.002127,-0.428281,0.000795,-0.903643,-1.198667,0.525016,-5.556334,0.000773,,,,,,,,,,,,
144,1.2,0.002033,-0.42567,0.000891,-0.904876,-1.198614,0.525007,-5.556347,0.000757,,,,,,,,,,,,
145,1.208333,0.002011,-0.422995,0.000885,-0.906129,-1.198556,0.524984,-5.556308,0.000775,,,,,,,,,,,,
146,1.216667,0.00193,-0.420317,0.000961,-0.907375,-1.198478,0.524969,-5.556276,0.000785,,,,,,,,,,,,
147,1.225,0.00193,-0.417596,0.001003,-0.90863,-1.198409,0.524976,-5.556286,0.000766,,,,,,,,,,,,
148,1.233333,0.00187,-0.414898,0.00103,-0.909866,-1.198333,0.524948,-5.556254,0.000758,,,,,,,,,,,,
149,1.241667,0.001812,-0.412212,0.00105,-0.911085,-1.198264,0.524979,-5.556258,0.000765,,,,,,,,,,,,
150,1.25,0.001806,-0.409493,0.001093,-0.912311,-1.198213,0.524944,-5.556232,0.000761,,,,,,,,,,,,
151,1.258333,0.001783,-0.406723,0.001145,-0.913549,-1.198129,0.52493,-5.556195,0.000791,,,,,,,,,,,,
152,1.266667,0.00177,-0.404021,0.001187,-0.914747,-1.198047,0.524934,-5.55621,0.000758,,,,,,,,,,,,
153,1.275,0.00171,-0.401258,0.001283,-0.915963,-1.19798,0.524929,-5.556181,0.000777,,,,,,,,,,,,
154,1.283333,0.001692,-0.398479,0.001268,-0.917175,-1.197914,0.524919,-5.556186,0.000747,,,,,,,,,,,,
155,1.291667,0.001837,-0.395403,0.001286,-0.918505,-1.197558,0.52486,-5.556071,0.000322,,,,,,,,,,,,
156,1.3,0.001666,-0.392836,0.001359,-0.919606,-1.197716,0.524873,-5.556153,0.000757,,,,,,,,,,,,
157,1.308333,0.001814,-0.389772,0.001427,-0.920908,-1.197348,0.524844,-5.556024,0.000343,,,,,,,,,,,,
158,1.316667,0.001644,-0.387296,0.00139,-0.921953,-1.197583,0.524876,-5.556139,0.000763,,,,,,,,,,,,
159,1.325,0.001617,-0.384423,0.001449,-0.923155,-1.197515,0.524901,-5.556154,0.000762,,,,,,,,,,,,
160,1.333333,0.001525,-0.381553,0.001498,-0.924344,-1.197442,0.524886,-5.556146,0.000781,,,,,,,,,,,,
161,1.341667,0.001602,-0.378557,0.001581,-0.925575,-1.197362,0.524887,-5.556087,0.000782,,,,,,,,,,,,
162,1.35,0.001638,-0.375739,0.001603,-0.926723,-1.197235,0.524872,-5.556077,0.000781,,,,,,,,,,,,
163,1.358333,0.001812,-0.372644,0.001589,-0.927971,-1.196881,0.524867,-5.555981,0.000317,,,,,,,,,,,,
164,1.366667,0.001556,-0.370081,0.001532,-0.928997,-1.197014,0.52492,-5.556114,0.000748,,,,,,,,,,,,
165,1.375,0.001762,-0.366783,0.001666,-0.930303,-1.196715,0.524877,-5.555965,0.000328,,,,,,,,,,,,
166,1.383333,0.00161,-0.364176,0.001605,-0.931327,-1.196893,0.524965,-5.556085,0.000765,,,,,,,,,,,,
167,1.391667,0.001552,-0.361242,0.001634,-0.932469,-1.196769,0.524937,-5.55604,0.000801,,,,,,,,,,,,
