,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker9,OASES_USV:Marker9,OASES_USV:Marker9
,ID,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,16C94F0,16C94F0,16C94F0,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,16D5950,16D5950,16D5950,17027F0,17027F0,17027F0,16D5260,16D5260,16D5260,17023F0,17023F0,17023F0,16D6BE0,16D6BE0,16D6BE0,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.166667,-0.007587,-0.698862,0.016249,-0.715032,-0.595997,0.532807,-5.66304,0.001559,-0.592071,0.613579,-5.375513,,,,,,,-0.878261,0.613286,-5.668556,-0.628627,0.44936,-5.659591,-0.307829,0.613791,-5.659842,-0.589999,0.613909,-5.948656,-0.313053,0.470165,-5.939314,,,
21,0.175,-0.007686,-0.698677,0.016216,-0.715212,-0.595133,0.532841,-5.663034,0.001543,-0.591354,0.61351,-5.375517,,,,,,,-0.877429,0.613378,-5.668666,-0.627665,0.44937,-5.659596,-0.306924,0.61384,-5.659683,-0.588938,0.613981,-5.948653,-0.312151,0.470264,-5.939192,,,
22,0.183333,-0.008221,-0.698166,0.015914,-0.715712,-0.594446,0.532676,-5.663048,0.001646,-0.591412,0.612691,-5.375401,,,,,,,-0.87652,0.613477,-5.668742,-0.626764,0.449403,-5.659696,-0.30612,0.613791,-5.65952,-0.58795,0.614011,-5.948687,-0.310959,0.470314,-5.938892,,,
23,0.191667,-0.008585,-0.698017,0.015996,-0.715851,-0.593652,0.532738,-5.662997,0.001622,-0.590698,0.612573,-5.375345,,,,,,,-0.875442,0.613878,-5.668611,-0.625843,0.449365,-5.659678,-0.305469,0.613669,-5.659211,-0.587,0.614007,-5.948612,-0.310129,0.470539,-5.939005,,,
24,0.2,-0.008705,-0.697834,0.015898,-0.71603,-0.592703,0.53273,-5.662981,0.001661,-0.589905,0.612458,-5.375359,,,,,,,-0.874524,0.613915,-5.668681,-0.624997,0.44931,-5.659696,-0.304509,0.613713,-5.659102,-0.585879,0.61406,-5.948564,-0.308987,0.470591,-5.938759,,,
25,0.208333,-0.009375,-0.698605,0.014283,-0.715303,-0.591934,0.533014,-5.663733,0.001387,-0.589091,0.612422,-5.375328,,,,,,,-0.873601,0.613903,-5.668829,-0.624053,0.44937,-5.659757,-0.303461,0.613564,-5.658993,-0.584902,0.614178,-5.948574,-0.310148,0.473589,-5.942873,,,
26,0.216667,-0.008908,-0.697606,0.015698,-0.716254,-0.590934,0.532769,-5.662999,0.00164,-0.588382,0.612394,-5.375299,,,,,,,-0.872748,0.613937,-5.668952,-0.623094,0.449401,-5.659732,-0.302711,0.613587,-5.658859,-0.58402,0.614235,-5.948533,-0.306957,0.47086,-5.93857,,,
27,0.225,-0.009489,-0.698308,0.014061,-0.715596,-0.590176,0.533127,-5.66373,0.001374,-0.587578,0.6124,-5.375267,,,,,,,-0.87181,0.614038,-5.669105,-0.6222,0.449423,-5.65979,-0.301771,0.613701,-5.65874,-0.582962,0.61439,-5.948514,-0.308123,0.473929,-5.942648,,,
28,0.233333,-0.009161,-0.697268,0.015549,-0.716584,-0.589073,0.532941,-5.662982,0.001625,-0.586769,0.612407,-5.37513,,,,,,,-0.870928,0.614133,-5.669166,-0.621259,0.449533,-5.659841,-0.300794,0.613789,-5.6586,-0.581817,0.614575,-5.948491,-0.304945,0.471199,-5.938412,,,
29,0.241667,-0.009332,-0.697123,0.015433,-0.716725,-0.588199,0.533065,-5.663005,0.00162,-0.586031,0.612432,-5.375106,,,,,,,-0.870019,0.614257,-5.669267,-0.620394,0.449683,-5.659972,-0.299854,0.613885,-5.658468,-0.580858,0.614792,-5.948466,-0.303953,0.471415,-5.938311,,,
